DialogIdx,DialogCon,ConnectNPC,ConnectQuest,Comment,NextDialog,Selection
D001,농장일은 잘 되가고 있는겐가?,N001,Q001,플레이어가 처음 농장으로 나왔을 때 문앞에 대기,{D002},
D002,"아, 이장님. 아직 도구를 준비하지 못했어요.",P,Q001,,{D003},
D003,"허허, 그럴 줄 알았지. 미리 챙겨왔네.",N001,Q001,,{D004},
D004,이장이 가방에서 도구들을 꺼낸다.,System,Q001,,{D005},
D005,"자, 이 정도면 여기서 지내는데 불편한 점은 없을걸세.",N001,Q001,,{D006},
D006,여러모로 챙겨주셔서 감사합니다.,P,Q001,,{D007},
D007,자네같이 어린 친구가 마을에 와주니 내가 더 고맙지.,N001,Q001,대사를 마치고 트랜지션 페이드 아웃 ->  퇴장 -> 페이드인,-,
D008,어제는 잘만 물더니 오늘은 시큰둥허네.,N002,,Q002가 비활성화일 때 출력,,
D009,그려. 무슨 일이여?,N002,Q002,Q001 클리어 후 톰과 대화시 출력,{D010},
D010,안녕하세요. 캐시가 여기 계시다고 알려줘서요.,P,Q002,,{D011},
D011,캐시 꼬맹이가 알려줬다고?,N002,Q002,,{D012},
D012,"네. 알렉스가 생선을 좋아하는데, 톰씨가 가끔식 주셨다고...",P,Q002,,{D013},
D013,또 그 괭이여?,N002,Q002,,{D014},
D014,고양이인가요?,P,Q002,,{D015},
D015,그려. 꼬맹이 옆에 고양이 한 마리 있었잖여? 걔가 알렉스여.,N002,Q002,,{D016},
D016,생선은 줄 수 있는디 직접 낚아보는 게 재밌지 않겄어?,N002,Q002,[예/아니오] 선택박스 출력,"{'D017', 'D018'}","{'예', '아니오'}"
D017,"허허, 그럴 줄 알았지라. 내 낚싯대 블려줄 텐께 큼직한 놈 한 번 노려봐잉.",N002,Q002,"D013에서 ""예"" 선택시 출력",{D019},
D018,뭐를 그리 망설여. 그냥 내 낚싯대 한번 써보구 손맛 좀 봐보랑게.,N002,Q002,"D013에서 ""아니오"" 선택시 출력",{D019},
D019,낚시꾼이 낚싯대를 건네준다.,System,Q002,,{D020},
D020,한 서너 마리쯤 잡아보면 금방 감 잡을 거여.,N002,Q002,,-,
D021,"어땠어? 낚시, 할만하디?",N002,Q002,"Q002 목표 달성 후 대화 시 출력 [재밌어요!/글쎄요..] 선택박스 출력","{'D022', 'D023}","{'재밌어요!','글쎄요..'}"
D022,"허허, 좋구먼! 이제 내 낚시 친구가 하나 늘었구먼",N002,Q002,D017에서 [재밌어요] 선택시 출력,{D024},
D023,흠... 좀 아쉽구먼. 그래도 한번 해봤으면 된 거여,N002,Q002,D017에서 [글쎄요] 선택시 출력,{D024},
D024,"그건 그렇고, 자네가 잡은 물고기는 상점에 가면 팔 수 있을 거여.",N002,Q002,,{D025},
D025,낚싯대는 그냥 가져. 내 선물이여,N002,Q002,,-,
D026,왜 낚시하러 안 가고 여기 서 있디야?,N002,Q002,퀘스트 목표 미달성 상태로 대화 할 때 출력 / D022~D24,{D027},
D027,어디서 낚시하는지 모르겠다고?,N002,Q002,,{D028},
D028,낚시라는 건 물만 있으면 되는 거 아녀. 아무 데서나 던져봐.,N002,Q002,,-,
D029,어서와요. 돌로레스 잡화점이에요.,N004,,상점 최초 입장시 돌로레스가 하는 말,{'D030'},
