ID,이름,아이콘 이미지,타입,설명,효과,최대소지 개수
1,건초,img_0001,자원,제작 및 업그레이드에 이용,,99
2,석재,img_0002,자원,제작 및 업그레이드에 이용,,99
3,목재,img_0003,자원,제작 및 업그레이드에 이용,,99
11,빨간 버섯,img_0011,요리재료,요리 제작에 사용되는 재료,,99
12,초록 버섯,img_0012,요리재료,요리 제작에 사용되는 재료,,99
13,주황 버섯,img_0013,요리재료,요리 제작에 사용되는 재료,,99
14,보라색 버섯,img_0014,요리재료,요리 제작에 사용되는 재료,,99
15,갈색 버섯,img_0015,요리재료,요리 제작에 사용되는 재료,,99
16,소금,img_0016,요리재료,먹지 마세요. 요리에 양보하세요.,,99
17,설탕,img_0017,요리재료,너무 많이 먹으면 혀 끝이 아릴 수 있어요.,,99
101,흰꽃,img_0101,NPC선물,NPC에게 선물하여 호감도 상승,,99
102,빨간 꽃,img_0102,NPC선물,NPC에게 선물하여 호감도 상승,,99
103,보라꽃,img_0103,NPC선물,NPC에게 선물하여 호감도 상승,,99
104,선인장,img_0104,NPC선물,NPC에게 선물하여 호감도 상승,,99
1001,풋고추 씨앗,img_1001,씨앗,성장시키면 작물이 된다,,99
1002,고추 씨앗,img_1002,씨앗,성장시키면 작물이 된다,,99
1003,토마토 씨앗,img_1003,씨앗,성장시키면 작물이 된다,,99
1004,당근 씨앗,img_1004,씨앗,성장시키면 작물이 된다,,99
1005,와사비 씨앗,img_1005,씨앗,성장시키면 작물이 된다,,99
1006,무 씨앗,img_1006,씨앗,성장시키면 작물이 된다,,99
1007,순무 씨앗,img_1007,씨앗,성장시키면 작물이 된다,,99
1008,호박 씨앗,img_1008,씨앗,성장시키면 작물이 된다,,99
1009,보리 씨앗,img_1009,씨앗,성장시키면 작물이 된다,,99
1010,밀 씨앗,img_1010,씨앗,성장시키면 작물이 된다,,99
1101,붕어,img_1101,물고기,어디서든 쉽게 잡을수 있는 생선,,99
1102,블루길,img_1102,물고기,이렇게 작아서야 먹을게 있나?,,99
1103,송어,img_1103,물고기,연어와는 다르다. 연어와는!,,99
1104,메기,img_1104,물고기,생각보다 무서운데?,,99
1105,큰입배스,img_1105,물고기,입만큼 욕심도 크다. 뭐든 삼킨다.,,99
1106,잉어,img_1106,물고기,흙탕물 감별사 논두렁 VIP,,99
2001,풋고추,img_2001,작물,상점에 팔 수 있고 먹으면 스태미나 회복,20,99
2002,고추,img_2002,작물,상점에 팔 수 있고 먹으면 스태미나 회복,20,99
2003,토마토,img_2003,작물,상점에 팔 수 있고 먹으면 스태미나 회복,30,99
2004,당근,img_2004,작물,상점에 팔 수 있고 먹으면 스태미나 회복,30,99
2005,와사비,img_2005,작물,상점에 팔 수 있고 먹으면 스태미나 회복,20,99
2006,무,img_2006,작물,상점에 팔 수 있고 먹으면 스태미나 회복,30,99
2007,순무,img_2007,작물,상점에 팔 수 있고 먹으면 스태미나 회복,30,99
2008,호박,img_2008,작물,상점에 팔 수 있고 먹으면 스태미나 회복,30,99
2009,보리,img_2009,작물,상점에 팔 수 있고 먹으면 스태미나 회복,10,99
2010,밀,img_2010,작물,상점에 팔 수 있고 먹으면 스태미나 회복,10,99
3001,파스타,img_3001,요리,상점에 팔 수 있고 먹으면 스태미나 회복,50,99
3002,음식물 쓰레기,img_3002,요리,윽. 이거 먹을 수 있는거야?,5,99
